core|0.000,0.700,0.000|0|0.00,0.00,0.00
beam|-0.250,0.700,0.150|0|0.00,0.00,0.00
beam|0.250,0.700,0.150|0|0.00,0.00,0.00
beam|0.000,0.700,-0.250|90|0.00,0.00,0.00
engine|0.000,0.975,0.000|90|0.00,0.00,0.00
beam|0.325,1.125,0.000|180|0.00,0.00,0.00
beam|-0.325,1.125,0.000|180|0.00,0.00,0.00
beam|-0.450,0.700,-0.150|270|0.00,0.00,0.00
beam|0.450,0.700,-0.150|270|0.00,0.00,0.00
beam|-0.450,0.700,-0.750|0|0.00,0.00,0.00
beam|0.450,0.700,-0.750|0|0.00,0.00,0.00
beam|-0.250,0.700,-0.750|0|0.00,0.00,0.00
beam|-0.050,0.700,-0.750|0|0.00,0.00,0.00
beam|0.150,0.700,-0.750|0|0.00,0.00,0.00
beam|0.000,0.700,0.450|0|0.00,0.00,0.00
spinner|0.000,0.700,0.800|0|0.00,0.00,1.00
wheel|0.620,0.700,0.000|90|1.00,0.00,0.00
wheel|0.620,0.700,-0.750|90|1.00,0.00,0.00
wheel|-0.620,0.700,0.000|90|-1.00,0.00,0.00
wheel|-0.620,0.700,-0.600|90|-1.00,0.00,0.00
battery|0.000,0.975,-0.300|90|0.00,0.00,0.00
plate|-0.250,0.700,-1.080|180|0.00,0.00,0.00
plate|0.300,0.700,-1.080|180|0.00,0.00,0.00
spike|-0.100,0.700,-1.260|180|0.00,0.00,-1.00
