arc0|0.0000,0.0000,-0.2800|0.0320
arc1|0.0000,-0.0486,-0.2757|0.0320
arc10|0.0000,-0.2757,0.0486|0.0320
arc11|0.0000,-0.2631,0.0958|0.0320
arc12|0.0000,-0.2425,0.1400|0.0320
arc13|0.0000,-0.2145,0.1800|0.0320
arc14|0.0000,-0.1800,0.2145|0.0320
arc15|0.0000,-0.1400,0.2425|0.0320
arc2|0.0000,-0.0958,-0.2631|0.0320
arc3|0.0000,-0.1400,-0.2425|0.0320
arc4|0.0000,-0.1800,-0.2145|0.0320
arc5|0.0000,-0.2145,-0.1800|0.0320
arc6|0.0000,-0.2425,-0.1400|0.0320
arc7|0.0000,-0.2631,-0.0958|0.0320
arc8|0.0000,-0.2757,-0.0486|0.0320
arc9|0.0000,-0.2800,0.0000|0.0320
head0|0.0000,-0.1400,0.2425|0.0750
head1|0.0000,-0.1010,0.2650|0.0563
head2|0.0000,-0.0621,0.2875|0.0375
