core|0.000,0.700,0.000|0|0.00,0.00,0.00|ABS
chassis|0.000,0.700,0.400|0|0.00,0.00,0.00|ABS
chassis|0.000,0.700,-0.400|0|0.00,0.00,0.00|ABS
wheel|0.270,0.700,0.400|0|1.00,0.00,0.00|Rubber
wheel|-0.270,0.700,0.400|0|-1.00,0.00,0.00|Rubber
wheel|0.270,0.700,-0.400|0|1.00,0.00,0.00|Rubber
wheel|-0.270,0.700,-0.400|0|-1.00,0.00,0.00|Rubber
battery|0.000,0.975,0.000|0|0.00,0.00,0.00|Aluminum
engine|0.000,0.975,0.400|0|0.00,0.00,0.00|ABS
spinnerSaw|0.000,0.700,0.680|0|0.00,0.00,1.00|ABS
spike|0.000,1.000,-0.400|0|0.00,1.00,0.00|ABS
