core|0.000,0.700,0.000|0|0.00,0.00,0.00|Aluminum
beam|-0.250,0.700,0.150|0|0.00,0.00,0.00|Aluminum
beam|0.250,0.700,0.150|0|0.00,0.00,0.00|Aluminum
beam|0.000,0.700,-0.250|90|0.00,0.00,0.00|Aluminum
beam|-0.450,0.700,-0.150|270|0.00,0.00,0.00|Aluminum
beam|0.450,0.700,-0.150|270|0.00,0.00,0.00|Aluminum
beam|0.000,0.700,0.450|0|0.00,0.00,0.00|Aluminum
spindle|0.000,0.800,0.900|0|0.00,0.00,1.00|Aluminum
wheel|0.620,0.700,0.000|90|1.00,0.00,0.00|Rubber
wheel|-0.620,0.700,0.000|90|-1.00,0.00,0.00|Rubber
battery|0.000,0.975,0.000|0|0.00,0.00,0.00|Aluminum
beam|0.000,0.700,-0.650|0|0.00,0.00,0.00|Steel
wheel|0.170,0.700,-0.800|0|1.00,0.00,0.00|Rubber
wheel|-0.170,0.700,-0.800|0|-1.00,0.00,0.00|Rubber
beam|0.225,0.975,0.000|0|0.00,0.00,0.00|ABS
beam|-0.250,0.900,0.150|0|0.00,0.00,0.00|ABS
spinner|0.000,0.800,1.100|0|0.00,0.00,1.00|Steel
