# BATCH B ts1 jobs=35
FLEA_ABS@kw1.0,charge,mauler,Veteran,PlayerLoss,14.9,4,0,10/10,1.00,1.00,0,4,10/11,0.99,0.91,0.0,0.0,0.0,0.95,16,0.0,0.91,28,377,694,559,864,-1.00,0.81,"Counted out — flipped onto its back — the emergency struts could not roll a hull this shape back over; a gyro rights you in under a second"
FLEA_ABS@kw1.0,charge,bulwark,Champion,PlayerWin,67.6,190,60,9/10,0.88,0.90,60,190,12/13,0.87,0.92,0.0,0.0,0.0,0.77,70,12.7,0.00,300,377,1889,559,1491,-1.00,0.83,"Enemy counted out — out of power — all 300 kJ spent in 58 s; carry more battery, or spend less on driving and spinning"
FLEA_ABS@kw1.0,charge,scout,Rookie,PlayerWin,41.3,24,14,9/10,0.97,0.90,14,24,9/11,0.95,0.82,0.0,0.0,0.0,0.85,44,0.0,0.85,46,377,406,559,652,-1.00,0.84,"Enemy counted out — flipped onto its back — its gyro had already been sheared off, leaving only the slow emergency struts"
FLEA_ABS@kw1.0,charge,widowmaker,Champion,PlayerLoss,34.5,28,718,0/10,0.00,0.00,718,28,11/11,0.98,1.00,0.0,0.0,0.0,0.92,25,0.0,0.61,118,377,587,559,1301,-1.00,0.80,"KO — your core was destroyed"
SPIN_TUNG@kw1.0,charge,mauler,Veteran,PlayerWin,41.7,437,102,10/10,0.92,1.00,102,437,0/11,0.00,0.00,0.0,0.6,0.0,0.17,249,0.0,0.73,82,1671,694,1258,864,7.90,0.81,"KO — enemy core destroyed"
SPIN_TUNG@kw1.0,charge,bulwark,Champion,Draw,30.5,653,59,9/10,0.95,0.90,59,653,10/13,0.64,0.77,15.9,17.3,0.0,0.00,121,13.0,0.00,98,1671,1889,1258,1491,-1.00,0.78,"Double count-out — neither bot could continue"
SPIN_TUNG@kw1.0,charge,scout,Rookie,PlayerLoss,50.8,105,64,9/10,0.95,0.90,64,105,10/11,0.81,0.91,16.1,18.2,0.0,0.00,199,0.0,0.84,48,1671,406,1258,652,8.60,0.75,"Counted out — out of power — 240 kJ of its 300 kJ pack was torn off the chassis, and what was left ran dry after 41 s"
SPIN_TUNG@kw1.0,charge,widowmaker,Champion,PlayerLoss,69.2,439,500,9/10,0.77,0.90,500,439,9/11,0.82,0.82,11.9,24.9,0.0,0.00,300,0.0,0.50,151,1671,587,1258,1301,8.10,0.78,"Counted out — out of power — all 300 kJ spent in 59 s; carry more battery, or spend less on driving and spinning"
SAW_CF@kw1.0,charge,mauler,Veteran,PlayerWin,18.4,647,21,10/10,0.98,1.00,21,647,0/11,0.00,0.00,0.0,0.0,0.0,0.79,63,0.0,0.89,32,488,694,1244,864,6.60,0.90,"KO — enemy core destroyed"
SAW_CF@kw1.0,charge,bulwark,Champion,PlayerWin,33.2,1166,88,10/10,0.93,1.00,88,1166,0/13,0.00,0.00,0.0,0.0,0.0,0.66,103,0.0,0.53,173,488,1889,1244,1491,7.50,0.83,"KO — enemy core destroyed"
SAW_CF@kw1.0,charge,scout,Rookie,PlayerWin,32.5,719,13,10/10,0.99,1.00,13,719,0/11,0.00,0.00,0.0,0.0,0.0,0.69,93,0.0,0.89,32,488,406,1244,652,7.80,0.90,"KO — enemy core destroyed"
