#fmt3-disc
core|0.000,0.700,0.000|0|0.00,0.00,0.00|Aluminum
spindle|0.000,0.700,-0.300|180|0.00,0.00,-1.00|Aluminum
beam|-0.250,0.700,-0.150|0|0.00,0.00,0.00|Aluminum
beam|0.250,0.700,-0.150|0|0.00,0.00,0.00|Aluminum
beam|0.000,0.700,-0.550|90|0.00,0.00,0.00|Aluminum
beam|0.000,0.700,-0.750|90|0.00,0.00,0.00|Aluminum
wheel|0.370,0.700,-0.750|0|1.00,0.00,0.00|Rubber
wheel|0.420,0.700,0.000|0|1.00,0.00,0.00|Rubber
wheel|-0.420,0.700,0.000|0|-1.00,0.00,0.00|Rubber
wheel|-0.370,0.700,-0.750|0|-1.00,0.00,0.00|Rubber
battery|0.000,0.700,0.275|0|0.00,0.00,0.00|Aluminum
